i,mean05,mean10,mean15,mean20,mean25,mean30,mean35,mean40,mean45,mean50,mean55,mean60,mean65,mean70,mean75,mean80,mean85,mean90,mean95,std05,std10,std15,std20,std25,std30,std35,std40,std45,std50,std55,std60,std65,std70,std75,std80,std85,std90,std95
0.0,0.25000419347756525,0.24999151554795654,0.24998285123982303,0.24999135309752737,0.2499966273787446,0.2499999348440152,0.2499877652839771,0.24999991727714405,0.25000942162200895,0.2500000500228594,0.25000155413129627,0.24999575924823422,0.2500000269298584,0.249996372211328,0.2500022684385529,0.2500031846584968,0.250002003808653,0.25000283442963445,0.24999820921433547,0.00016140876667134578,7.291690901199132e-05,4.5847230180899226e-05,4.578786968547336e-05,2.9443095692506283e-05,3.81268917907332e-05,2.5472891359143186e-05,2.345163695975111e-05,2.2425111832971214e-05,1.6133587796073987e-05,1.5683954109237162e-05,1.5917716529163666e-05,1.599620986526226e-05,1.3640038846236891e-05,1.2226257526719424e-05,1.0412474980605499e-05,5.108731799191147e-06,9.260921430057617e-06,9.647779925889535e-06
1.0,0.27494898206853274,0.2980146443377359,0.3249477491505412,0.34916810920222213,0.3742092901607705,0.39922163928191884,0.42530694481540726,0.4488634921962057,0.474040874887145,0.5007062849501931,0.5251122727793651,0.549778026788021,0.5760143539094176,0.599759108968115,0.6249536573008958,0.6502569779272023,0.6749560967749694,0.7002556573829568,0.7248567358845063,0.003193957322728146,0.0030901832718057414,0.0029874994338630004,0.0028336268562656544,0.00257276277012652,0.0024584436783958506,0.0030303618032399148,0.0030927892520070423,0.0022637859889845144,0.003867073912459942,0.002604713456223294,0.002545067151494387,0.0013631756642103207,0.0019401144971660583,0.001978238790748243,0.0015355177540451951,0.001107568255555794,0.001175898396674962,0.0007720316178132365
2.0,0.02552499489063953,0.04498566394722461,0.06356511177949055,0.08114386186673009,0.09410431571268808,0.10541607111716607,0.11268997690149113,0.1197111279639845,0.12406265498466205,0.1240966302715825,0.1240917763187502,0.12039017901034758,0.1135306523636052,0.10530410614374491,0.09363307222367807,0.07994641408475943,0.06392329351115439,0.04472420035507185,0.023896734758998128,0.002994243691782092,0.002859931444682797,0.0027784515349413594,0.002806983453198107,0.0025107790034247005,0.0026915958993916954,0.002580921626976827,0.0025604766472904104,0.0019827842621239662,0.0022364695739757806,0.002620603574622052,0.002045990777860557,0.0016329051698572299,0.0015354783322700852,0.001740486859435274,0.0014796630937717035,0.0012169795287912445,0.0011797763783217567,0.0007220063329375355
3.0,0.023292269741546242,0.04139046879937478,0.05425420599915989,0.06434509577265674,0.07105206385980778,0.07326643791113244,0.07358210070334772,0.0723627899376033,0.0680210595546885,0.06218427995163906,0.05548489340195043,0.04800402551687967,0.039199903270829874,0.03138607809707241,0.0235774722221995,0.015756833300230106,0.009472131548385316,0.004542984195155888,0.00119456909473737,0.003173764509449832,0.0032512569552993224,0.002560259585530177,0.0027133102979549,0.00278670543762165,0.0022071606886357132,0.0013601086655345086,0.001386705193680481,0.0016739336277562392,0.0019340886180394172,0.0014709613785562155,0.0012629325921599149,0.0011807785533258282,0.0007057759698411479,0.0008373600924117978,0.000612305383306108,0.0005021735521522882,0.0003353796002069029,0.00018434960205480046
4.0,0.020690752684011087,0.03769190462172354,0.048128141312168436,0.05189455347428442,0.05273747983174596,0.052177866605917896,0.04827239031504244,0.042664482219833766,0.03796599487894151,0.03162852925781576,0.025196061309674285,0.019032833911561266,0.013757153263038465,0.009379946690937231,0.005848070527762699,0.0032334637049160645,0.0014244478507957818,0.0004100702605775776,4.8376628975568296e-05,0.0029469980232073186,0.0025209088878116737,0.0026490793325768393,0.0026420921502068235,0.0017941152444251641,0.002444107902016891,0.0018200273427066884,0.0017639009751725452,0.0012563435798378772,0.0010857395853605728,0.001165591673529415,0.0007828904210408068,0.0006475375359676531,0.0004956028985398233,0.00023284025277561123,0.0002543908999842158,0.00018386627965303538,0.00012900791813514972,4.075106647769173e-05
5.0,0.01820220376445591,0.033218011997876565,0.03883371774476369,0.03968744064322463,0.039568774876737454,0.03533009043627342,0.03192218118022051,0.026533671690261613,0.020849496427425677,0.01553336651174433,0.011238174114202183,0.0076984561791928535,0.004777105808101367,0.002946482133518328,0.0015272338717699087,0.0006501363287377882,0.00018604765782684332,5.8579693011956485e-05,5.374418447380507e-06,0.0018452591415485597,0.0020104478675992913,0.0033684097392791238,0.0023532136639522,0.0015651426993400126,0.0013314365400694016,0.001060533503161664,0.0009728097365691038,0.0009375291084287774,0.0007447211935984982,0.0005644727545249449,0.0005185310004754625,0.00029905715647211964,0.0003090595671724447,0.00022161002518578376,0.0001135095974357934,4.9310728162266236e-05,4.073456704363112e-05,1.4555653473658078e-05
6.0,0.01874443684074688,0.03021300422495059,0.03412752188925978,0.03300502117946202,0.030185250085848915,0.02495373217555574,0.019904295731409595,0.01629981663704432,0.011200462142380047,0.007776631978385624,0.00483727052166151,0.003145521917029724,0.0017935625463508758,0.0008463085380382309,0.0003539176042819678,0.0001168520627756289,2.397476534380995e-05,3.781034639899961e-06,0.0,0.0029521189886953228,0.0018541034493253499,0.002695058798720828,0.002823664158903626,0.0012800128948451928,0.0010485346203586482,0.0010469180665671092,0.001036316053472369,0.0005802394137824113,0.0004855012543820754,0.00034526993869752075,0.0004654477370096949,0.00024886684850824927,0.00016337074040831628,7.959307878173157e-05,4.743945484832995e-05,2.934886954444232e-05,9.639829427197233e-06,0.0
7.0,0.018601243514257453,0.026449189330476863,0.02775260879043624,0.026255937579134234,0.022039038742999336,0.018035555897489987,0.013482076644350144,0.009527611397240381,0.006193803441511574,0.0042519927931498275,0.002280941602880276,0.001255315557202023,0.0006241904284734634,0.00027226009900724443,7.933483914912834e-05,2.763568837052115e-05,1.0003042330401846e-05,1.8926489514724808e-06,0.0,0.0029589164167008173,0.0029131726608610468,0.0019394351018717833,0.001956600339744829,0.0015507555350007007,0.0013411036380669413,0.001142764762954946,0.0006130147086715691,0.0005760127630218017,0.0005392075926939267,0.00043994278688535177,0.00021993576668810836,0.00014807998353562763,8.81137196951772e-05,4.895564688437273e-05,2.288977702609993e-05,1.789543660568143e-05,7.081643929846962e-06,0.0
8.0,0.016956971634492262,0.024016312328295143,0.02410531012003457,0.020906329188575243,0.01643031588289608,0.012438072359198997,0.008680227192378136,0.005468867286030725,0.0034706700101818015,0.0019345442438901028,0.0009449416931327314,0.00044510354900903504,0.00019068026570119573,8.265751638399033e-05,1.588015818551702e-05,6.38288201573656e-06,2.001040541081362e-06,0.0,0.0,0.002790291327533723,0.0019757617934042255,0.002077017038946708,0.001793177501961144,0.0014681765908750293,0.0009155268244548863,0.0007692675635427125,0.0008481381817889553,0.0004554879608567007,0.00037369645398612183,0.00018445942632137324,0.00013081130895662368,7.307306235373005e-05,5.063244639785305e-05,1.697680129095673e-05,1.2765812952211993e-05,7.487208121771203e-06,0.0,0.0
9.0,0.017708797368457197,0.022007089338968267,0.020627624990942464,0.0169217307069914,0.012482613936949093,0.008968070604633645,0.00565641728312163,0.0034926355453949957,0.0018675963254075653,0.0010252603140940436,0.00048144691393791283,0.00013018225444008343,7.057494021557825e-05,1.941073940677947e-05,4.576554312258301e-06,2.119362495761275e-06,0.0,0.0,0.0,0.0020167248621652304,0.001976085265580116,0.0014141163001953456,0.0013704380268917246,0.0009100437168356504,0.0009024242185855172,0.0008252561807624841,0.00031262243851586764,0.00028431778540944616,0.00020626200372434608,0.0001495661621156437,7.483458943070433e-05,7.051694840061481e-05,2.61104374383354e-05,1.7123898248433403e-05,7.92992833751683e-06,0.0,0.0,0.0
