alpha,mean,std,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14
0.05,2.2213622068064387,0.11566989851324086,1.9876280296116013,2.1965706600918975,2.2518382352941178,2.3135033050047213,2.2007635302043567,2.3266856600189936,2.3088703027447286,2.339739763638534,2.0696937697993665,2.2562449637389204,2.0369985450010395,2.2996597442215183,2.359455880582641,2.094240837696335,2.278539874447803
0.1,1.2551618222039012,0.033603516678302414,1.2722315980786707,1.2393297502371166,1.2909174734900877,1.2782052954219383,1.260612297401595,1.271983905509767,1.2829744059697585,1.2314651922593616,1.2869336835193697,1.275543407523103,1.1885991510006064,1.18802279064129,1.21580547112462,1.257700205338809,1.2871027055424218
0.15000000000000002,0.8974234567017745,0.02230969933673048,0.9159306509649984,0.8645406025318689,0.8512486427795874,0.9214423393352452,0.9051445460423017,0.9106960319672893,0.8921256258534365,0.8744144546062904,0.9116279069767442,0.9227437502942423,0.8656479109619292,0.9204038506691712,0.9027266028002948,0.8942421753809654,0.9084167593622544
0.2,0.7281719283516132,0.02323789320410733,0.7373410578587014,0.7527170782288106,0.736731318598707,0.7594250067805804,0.6924816280384398,0.761135489883888,0.7425930135636887,0.6936825340647673,0.7467520097534956,0.707683419988446,0.7337251525474489,0.6920170885852487,0.7321081727177648,0.7061027451545501,0.7280832095096582
0.25,0.6194617624744563,0.018374529739793755,0.5849349409096335,0.6156165588290722,0.5784099628165024,0.6363636363636364,0.6244623570267945,0.6285879221320676,0.6309351360051505,0.6233700146301125,0.6210786488370619,0.6334227450473451,0.6303872378746944,0.6267988487368085,0.6320949432404541,0.590254773233753,0.6352087114337568
0.3,0.5323880950137656,0.01978069497313083,0.5133577789418544,0.5086549191602003,0.5441270370061908,0.542410405424104,0.5492657773792176,0.50787728026534,0.5469360419689697,0.5526731333182946,0.5487122060470325,0.554533880322535,0.5064337760322464,0.49959216965742254,0.5480984340044742,0.516700498246909,0.546448087431694
0.35000000000000003,0.4717135718213964,0.01873833466325636,0.48656968372970555,0.491597692500627,0.4838908776694235,0.48268728759296653,0.4489852018142667,0.4846207101176936,0.49170868768972176,0.4568764568764569,0.45159209253029814,0.45358820670662564,0.48746518105849584,0.4514048825426071,0.45395590142671854,0.5012915931353743,0.44946912192996535
0.4,0.43361809933968093,0.015137068099831502,0.4431682004205576,0.4449489216799092,0.4404989324643218,0.44305800443058,0.44267774866744963,0.41161769956108113,0.4422582246491268,0.4475090186766519,0.40902356059183204,0.4079338980581514,0.4395505819560001,0.4063776409363273,0.44136191677175285,0.44232809009049673,0.44195905114097594
0.45,0.4070868069040969,0.01855534534302886,0.3752776288580838,0.41102210292328983,0.424978317432784,0.4060493059871556,0.42698734287519335,0.404407213304172,0.37192356591206666,0.37526325866360327,0.4247388722749534,0.40861425563408177,0.42590178183398525,0.40611661348472916,0.4090406327608156,0.40674026728646134,0.42924094433007753
0.5,0.41747085500112413,0.03509857838380794,0.39078855547801816,0.3973805324088154,0.40768782760629,0.4449893293375108,0.4777924040758617,0.4676353398706845,0.3797051473294717,0.4194128220491312,0.3886729594669628,0.45903789404655954,0.37568764256004294,0.3872216844143272,0.40601566060405186,0.47039623683010534,0.3896387889390295
0.55,0.4314608483180558,0.020454155710962468,0.4309965696191398,0.4065377914212229,0.43070296877403474,0.40604089411862193,0.42959845695248117,0.4307597635216808,0.4306651139285008,0.456493385504006,0.38278259510975704,0.433609132339277,0.4587692811834375,0.45560204556020456,0.43061780472800776,0.43133802816901406,0.4573988938414506
0.6000000000000001,0.39938933259769627,0.023119058558652112,0.37039136761343233,0.4202761814906939,0.41806198408804895,0.37098025855052713,0.3717542628454375,0.4203212455233643,0.36996489108686625,0.3713527851458886,0.4162596100751816,0.4192872117400419,0.4184904451798868,0.4162772916489678,0.41838324759322904,0.37224849486259093,0.4167907115212861
0.6500000000000001,0.39038373109737157,0.02249506361978853,0.35767728749224426,0.3586984370996669,0.3593956285756198,0.40762847576066386,0.4063692154586167,0.406672752925554,0.3597782591137707,0.4073912410883166,0.40565432456485295,0.40544454097885896,0.40630182421227196,0.40513445916616714,0.4062260357727621,0.35740987253596895,0.4059736117152385
