alpha,mean,std,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14
0.05,2.7176148408730314,0.0980062384428827,2.5530806304546045,2.6605130989547985,2.715057487186591,2.804005722460658,2.6937877954920286,2.827466820542412,2.7695351137487636,2.8044069251681214,2.656186475132132,2.766798418972332,2.473186119873817,2.7872582480091013,2.812858783008037,2.6779614701461947,2.762119503945885
0.1,1.5051139576783303,0.015880488676388603,1.515268650947043,1.4811456207964937,1.523276599051838,1.517145289883118,1.4965259219668627,1.5088529638183217,1.520440617485067,1.4666267584555521,1.5139811524795304,1.517145289883118,1.5003061849357011,1.4960690023662315,1.5238687606904058,1.4932195642236783,1.5028369881919952
0.15000000000000002,0.9559580065099545,0.017272494822955564,0.9464484040755227,0.9699129057798892,0.9471344351019619,0.9879032258064516,0.9466769706336939,0.9386523633925579,0.9224397590361446,0.9842816250690504,0.9525660964230172,0.9672325305961311,0.9631449631449631,0.9728495557651263,0.9521033712231614,0.942534263044001,0.945489628557646
0.2,0.8021530770669236,0.006542612645310355,0.8039376538146021,0.8029496108152396,0.7952931629133698,0.8109226313611916,0.8060536272413226,0.8102521703183133,0.7945194373505209,0.803081209538638,0.7988913344746067,0.8100512481401885,0.8017999590918389,0.7947127275676114,0.7987936585564658,0.811224700964364,0.7898130238555771
0.25,0.6617144742240962,0.013542602350885106,0.6725226461707384,0.6255385695592506,0.6666666666666666,0.665331477646899,0.6535947712418301,0.669193212468845,0.6703146374829001,0.6463314097279472,0.6591337099811676,0.6789289549343587,0.6714628297362111,0.6484698097601324,0.6581819402934954,0.6619161797980481,0.6781302978929523
0.3,0.46922800131276293,0.010066292423626394,0.4717548800154042,0.47090480995627315,0.4652818991097923,0.45917769708328454,0.46665555582009954,0.4691015269733378,0.46263513194542794,0.48222413581006274,0.4655360790461261,0.479581100589689,0.46323651060008036,0.4539979616418049,0.4706673390485796,0.4961522883758607,0.4615131036756222
0.35000000000000003,0.3912170835531882,0.002672071470735917,0.39152234274185493,0.3921960980490245,0.3892364214080032,0.38527313113046213,0.3893292016764992,0.3898635477582846,0.39090546469884324,0.394445562487422,0.3919686425085993,0.3921254801536492,0.391960803919608,0.3904538029403562,0.3938194458397798,0.3969298689726402,0.38822643901279563
0.4,0.358460174142368,0.0018666839239191613,0.35876409430370476,0.3597518446459381,0.35545238570210913,0.3583443030568963,0.35723398826231184,0.36117714264654394,0.3576120274412495,0.3614169017720492,0.3611438679245283,0.3607317701623293,0.35670088083278734,0.35688923687612667,0.35769034236075625,0.3573838046788104,0.35661002146937887
0.45,0.3311347325062614,0.0015680255247763845,0.33307276620331033,0.33383294726802015,0.3299496658417925,0.3301553077519119,0.3311426109581172,0.32887561454435627,0.330188679245283,0.33277870216306155,0.32941176470588235,0.3318658990856756,0.3301330638369547,0.32954469029524514,0.3324005766132451,0.33022762118174315,0.3334410778993212
0.5,0.3077999743355745,0.002485669342349591,0.310239485888852,0.3031568527369186,0.3084816720965736,0.30428167789610955,0.3078179476709489,0.30583425655749213,0.30932878809399805,0.30839915662271455,0.3091531412167384,0.3058915333593445,0.30986182692003666,0.3082003302146395,0.3133693601509289,0.3056434887021068,0.3073400969062142
