alpha,mean,std,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,seed10,seed11,seed12,seed13,seed14
0.05,1.1835875652398193,0.009078507189726335,1.170498656315318,1.1774600504625736,1.1818620356970575,1.190331592372161,1.1791601491998556,1.1968734733756716,1.1873031257572086,1.1931576063797407,1.1763293722242227,1.1855077723341196,1.1635500148411992,1.187590887057683,1.1976047904191616,1.1814345991561181,1.1851493530052002
0.1,1.1324498671388905,0.004363210456788356,1.1342592592592593,1.1275383995858022,1.1354420113544201,1.134587554269175,1.128707169594011,1.1336032388663968,1.1359026369168357,1.1230804492321798,1.1353104726598702,1.1372867587327375,1.1284472335770626,1.1289672253902425,1.140463167694635,1.1301389609640777,1.1330134689866467
0.15000000000000002,1.1061961410550867,0.006191525942026007,1.1062821019359936,1.1098527746319367,1.1013710946280062,1.1167454845877727,1.1069693889077148,1.0955841252096143,1.0927743086529884,1.1154108809469612,1.1084092065825935,1.1070944419340263,1.1054086063955784,1.109727097723927,1.110104213864975,1.1027963765261914,1.1044120132980222
0.2,1.0968801311017404,0.0052128510249818405,1.099949492115158,1.100196463654224,1.0960742646236439,1.1045987376014428,1.0978547022909315,1.1010617381046008,1.0920436817472698,1.0970558602932945,1.08882839842231,1.1026102610261026,1.0941774130519735,1.0947885829190638,1.0941774130519735,1.103852218968236,1.0859327386558812
0.25,1.0851247362954208,0.004366169074403554,1.0884051532652155,1.073208125718666,1.0865949661825036,1.08383101083831,1.0832320106112523,1.0892519728798489,1.087378640776699,1.0826336721166594,1.0836512412229777,1.089312510420719,1.0862336510751496,1.0814389759435004,1.08149864812669,1.0897364616924274,1.0904640035606987
0.3,1.0592830125407533,0.0039089842679919775,1.0626185958254268,1.0578583765112262,1.0560344827586208,1.0564329218994233,1.058715497218171,1.0625609888322671,1.0539901053990106,1.062330623306233,1.0601471224578105,1.0631950094928126,1.0591731964333964,1.0525185264740629,1.0602044680045437,1.0678289294470171,1.0556363440512737
0.35000000000000003,1.0381291678375553,0.002926250565074641,1.0408921933085502,1.0382455768619556,1.03572183470725,1.0323939952594152,1.036159864664834,1.037201672223104,1.038080610137175,1.0402292750238828,1.0380256328778732,1.0391813795663007,1.0385206379483918,1.0371467880198963,1.040063677368002,1.0455006134314824,1.034573766165215
0.4,1.016801779641132,0.0019825989275993935,1.0173362400083048,1.0179702918874,1.014177791576115,1.017389047495458,1.0159651669085632,1.0188169248362615,1.016492065138471,1.0200364298724955,1.0204081632653061,1.0187110187110187,1.015386209397503,1.0147553714729485,1.015386209397503,1.0142827571931277,1.0149130074565038
0.45,0.9997016958881435,0.0009624718138793999,1.0010725777618876,1.0013794512849332,0.9992862241256245,0.999031551047454,0.9996429846483399,0.9987261146496815,0.9987770077456176,1.0006126199714112,0.9988279060286399,0.999693971233296,0.9987261146496815,0.9989297181591152,1.0003572704537336,0.9990824752778061,1.0013794512849332
0.5,0.999507531373648,0.0006964558104304997,0.9985225941209435,1.0,1.0,1.0,1.0,0.9985225941209435,1.0,1.0,1.0,0.9985225941209435,1.0,1.0,0.9985225941209435,0.9985225941209435,1.0
0.55,1.0004165919967904,0.0012060277303585477,0.999031551047454,1.000408329930584,1.0008680998825512,1.0003572704537336,1.0020962216882254,0.999693971233296,1.0007658922644882,1.0014817842726482,1.002814018930673,0.9981158018027193,0.9993881297165002,1.0014817842726482,1.0005104645227156,0.9990824752778061,1.0001530846558147
0.6000000000000001,1.022604646830379,0.0017705631290314166,1.0232315322370138,1.019187769746763,1.0220576732544193,1.0218978102189782,1.0221109720483939,1.0213120733677246,1.0217379971850076,1.0225909114624094,1.0251582195721534,1.0228577392756497,1.0201957110139497,1.0218445336530941,1.0253191044151495,1.0238729561719688,1.0256946988330107
0.6500000000000001,1.0641449259599958,0.003412659024146076,1.0697522104573736,1.064754454584963,1.0599751230328267,1.0579154747125816,1.063714316726365,1.0618701917867592,1.061410159211524,1.0621003576460388,1.0657966286025014,1.0673055979089523,1.066782779077995,1.0660284999456109,1.0600324499729583,1.0694603590331204,1.065275286700364
0.7000000000000001,1.1250417718708756,0.004602043366463073,1.1333410431363478,1.1165546314230375,1.126825342071979,1.1250143496728275,1.120768526989936,1.1248852157943068,1.123724343538585,1.1285122063565178,1.120768526989936,1.1192964422363085,1.130790976749553,1.124949779027722,1.1324243124566675,1.1239821080399128,1.1237887735794967
0.7500000000000001,1.2213375722868947,0.007591677838377555,1.227301189730745,1.231774761186526,1.218299353555445,1.2118963704940333,1.217164503508663,1.2252297305744828,1.2147505422993492,1.213922953053388,1.2259194395796849,1.2258427669022454,1.205708661417323,1.22156435026488,1.2352681666351548,1.2208034880099659,1.2246173070915338
0.8,1.3737567422744263,0.009041676861283612,1.3807678760126805,1.380087311646247,1.3795045045045045,1.3713965855023789,1.3588463671658346,1.3613001805806362,1.3592233009708738,1.377468550144072,1.3832039520112915,1.3828136023705375,1.3782434427958652,1.3816438742422106,1.381157071383271,1.3605442176870748,1.3701502970989166
0.8500000000000001,1.6222798463781847,0.012426989732691471,1.6556850819395168,1.6190318850156946,1.6273663234805713,1.620102496280377,1.6241299303944317,1.6194331983805668,1.6401673640167365,1.598825352802023,1.6209063843863711,1.6078753076292043,1.6172951563660367,1.620102496280377,1.6174286185839248,1.6256116778634817,1.6202364222534513
