alpha,s_mean,s_std,c_mean,c_std
0.05,0.9993013146251448,0.0009598940878705468,0.47934463347509537,0.015422148544252594
0.1,0.999750191442786,0.00025115182375431223,0.6096714263667091,0.008011604034687092
0.15000000000000002,0.9997246041414016,0.00029617180465359795,0.7092294639056844,0.010054429158717978
0.2,0.999923449921501,0.00012575039946178686,0.8031150251494331,0.005907979475734379
0.25,0.9998875410981758,0.0002565931889065539,0.8814141891881146,0.005372636376539573
0.3,0.9999213394717169,0.00010198534409145235,0.9473159318821328,0.0036141664307564633
0.35000000000000003,0.9999282479705099,9.866490629497337e-05,0.9859743184606865,0.0017513209333555174
0.4,0.9999627301622475,4.03308029438521e-05,0.9983310640268583,0.0004022937495248595
0.45,0.9999491299693444,4.588697778967317e-05,0.9999081478130104,8.643246371474046e-05
0.5,0.9999395347775407,6.672045421767564e-05,0.9999472900387094,6.736381526466296e-05
0.55,0.999964030383518,4.76987093610692e-05,0.9999724298777426,4.05053096078188e-05
0.6000000000000001,0.9999694829588303,4.459962359823413e-05,0.9999771336354156,3.133747832348715e-05
0.6500000000000001,0.9999771965018734,2.463005047377233e-05,0.9999639888687184,6.573754209283244e-05
0.7000000000000001,0.9999865019887835,2.224347896328235e-05,0.9999664442206495,5.973784343929258e-05
0.7500000000000001,0.9999948712075164,4.894746286164666e-06,0.9999620991139911,4.499377624446896e-05
0.8,0.9999952607309027,6.804667269946826e-06,0.999967043240692,5.358505442584929e-05
0.8500000000000001,0.9999902737705504,1.2912771255536694e-05,0.9999667279446146,4.3267251955649586e-05
0.9000000000000001,0.9999966447665245,3.6675004801708585e-06,0.9999351738050891,0.00010804873518350117
0.9500000000000001,0.9999974512357866,2.5255126324829323e-06,0.9999232867443546,9.793800705047996e-05
